template_id,status,agent_selectable,canonical_question_type,primary_capability,fixed_question_template,required_fields,scoring,validity_filters,replacement_template_id,original_question,original_format
T001,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否可见 `{object_category}`？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中是否可见 `{object_category}`？,F3 判断题
T002,CORE_SELECTABLE,True,QT2_MULTI_SELECT,A1_VISIBLE_OBJECT_CATEGORY,从候选项中选择当前图像中可见的所有物体类别。,"['image', 'objects.category']",Precision / Recall / F1,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,从候选项中选择当前图像中可见的物体类别。,F2 多选题
T003,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中主要可见的物体类别是哪一个？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中主要可见的物体是哪一个？,F1 单选题
T004,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中面积最大的可见物体类别是哪一个？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中面积最大的可见物体类别是什么？,F7 填空题
T005,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,在标注图中，选择与给定 `{object_category}` 实例对应的标注区域。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,给定 `{object_category}`，选择其对应的分割区域。,F16 Mask 选择题
T006,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否同时可见 `{category_A}` 和 `{category_B}`？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中是否同时可见 `{category_A}` 和 `{category_B}`？,F3 判断题
T007,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,下列哪一项描述与当前图像中可见的物体类别证据一致？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,下列描述中，哪一项与当前图像中的可见物体列表一致？,F12 图文匹配题
T008,CORE_SELECTABLE,True,QT4_INTERVAL_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,当前图像中可见物体类别数量属于哪个区间？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中可见物体类别数量属于哪个区间？,F9 区间选择题
T009,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在给定多帧图像中，`{object_category}` 是否至少可见过一次？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在多帧图像中，`{object_category}` 是否至少出现过一次？,F3 判断题
T010,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧是 `{object_category}` 首次可见的帧？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪一帧中首次出现 `{object_category}`？,F11 图片选择题
T011,STATIC_OPTIONAL_SELECTABLE,True,QT4_INTERVAL_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中可见的 `{object_category}` 数量属于哪个区间？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中可见的 `{object_category}` 有几个？,F8 数值题
T012,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A2_COUNTING_AND_SET_SIZE,当前图像中 `{category_A}` 的可见实例数量是否多于 `{category_B}`？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中 `{category_A}` 是否多于 `{category_B}`？,F10 对比选择题
T013,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中哪类物体的可见实例数量最多？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中哪类物体数量最多？,F1 单选题
T014,CORE_SELECTABLE,True,QT5_ORDERING,A2_COUNTING_AND_SET_SIZE,将候选物体类别按当前图像中的可见实例数量从多到少排序。,"['image', 'objects.category']",Kendall Tau / Pairwise Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,将候选物体类别按可见数量从多到少排序。,F5 排序题
T015,CORE_SELECTABLE,True,QT4_INTERVAL_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中可见物体实例总数属于哪个区间？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中可见物体总数属于哪个区间？,F9 区间选择题
T016,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧的可见物体实例总数最多？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,多帧中，哪一帧可见物体总数最多？,F11 图片选择题
T017,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在给定多帧图像中，`{object_category}` 的可见实例数量是否发生变化？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,多帧中，`{object_category}` 的数量是否发生变化？,F3 判断题
T018,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 可见实例数量最多的图像。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择 `{object_category}` 数量最多的图像。,F11 图片选择题
T019,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,判断描述“第 `{i}` 帧中的 `{object_category}` 可见实例数量多于第 `{j}` 帧”是否正确。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,判断描述“第 `{i}` 帧中的 `{object_category}` 数量多于第 `{j}` 帧”是否正确。,F3 判断题
T020,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：不再输出每类裸数字计数；使用 T011/T015 区间题或 T002/T012 代替。,['not_selectable'],Schema Check + Field Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T011/T015,输出每个候选类别在当前图像中的可见数量。,F24 JSON 结构化输出题
T021,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的左侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在图像中，`{object_A}` 是否位于 `{object_B}` 的左侧？,F3 判断题
T022,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的右侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在图像中，`{object_A}` 是否位于 `{object_B}` 的右侧？,F3 判断题
T023,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的上方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在图像中，`{object_A}` 是否位于 `{object_B}` 的上方？,F3 判断题
T024,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的下方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在图像中，`{object_A}` 是否位于 `{object_B}` 的下方？,F3 判断题
T025,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点最靠近图像中心？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体最靠近图像中心？,F1 单选题
T026,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最左侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体位于图像最左侧？,F1 单选题
T027,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最右侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体位于图像最右侧？,F1 单选题
T028,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最上方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体位于图像最上方？,F1 单选题
T029,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最下方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体位于图像最下方？,F1 单选题
T030,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,标注图中的物体 A 位于图像九宫格的哪个区域？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_A}` 位于图像九宫格的哪个区域？,F13 区域选择题
T031,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,从候选区域中选择包含标注物体 A 中心点的区域。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,从候选区域中选择包含 `{object_A}` 中心点的区域。,F13 区域选择题
T032,STATIC_OPTIONAL_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图中，物体 A 与物体 B 的可见外接框是否重叠？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_A}` 与 `{object_B}` 的可见区域是否重叠？,F3 判断题
T033,STATIC_OPTIONAL_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图中，物体 A 与物体 B 的可见外接框是否相邻或接近？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_A}` 与 `{object_B}` 是否在图像中相邻或接触？,F3 判断题
T034,STATIC_OPTIONAL_SELECTABLE,True,QT5_ORDERING,A3_IMAGE_PLANE_SPATIAL,将候选标注物体按图像中从左到右排序。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Kendall Tau / Pairwise Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,将候选物体按图像中从左到右排序。,F5 排序题
T035,STATIC_OPTIONAL_SELECTABLE,True,QT5_ORDERING,A3_IMAGE_PLANE_SPATIAL,将候选标注物体按图像中从上到下排序。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Kendall Tau / Pairwise Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,将候选物体按图像中从上到下排序。,F5 排序题
T036,DEPTH_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A4_DEPTH_DISTANCE_LAYER,观察标注图，物体 A 是否比物体 B 更靠近相机？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中，`{object_A}` 是否比 `{object_B}` 更靠近相机？,F10 对比选择题
T037,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，哪个物体离相机最近？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体离相机最近？,F1 单选题
T038,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，哪个物体离相机最远？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪个候选物体离相机最远？,F1 单选题
T039,DEPTH_SELECTABLE,True,QT5_ORDERING,A4_DEPTH_DISTANCE_LAYER,将候选标注物体按从近到远排序。,"['image', 'objects.bbox_2d', 'objects.depth_median']",Kendall Tau / Pairwise Accuracy,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,将候选物体按从近到远排序。,F5 排序题
T040,DEPTH_SELECTABLE,True,QT4_INTERVAL_CHOICE,A4_DEPTH_DISTANCE_LAYER,观察标注图，标注物体 A 到相机的距离属于哪个区间？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,`{object_A}` 到相机的深度属于哪个区间？,F9 区间选择题
T041,DEPTH_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A4_DEPTH_DISTANCE_LAYER,当前图像中是否存在距离相机小于 `{threshold}` 的 `{object_category}`？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中是否存在距离相机小于 `{threshold}` 的 `{object_category}`？,F3 判断题
T042,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：多实例类别的“整体更靠近”口径不稳定；用 T036/T037/T040 替代。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T036/T037/T040,哪类可见物体整体更靠近相机：`{category_A}` 还是 `{category_B}`？,F10 对比选择题
T043,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：“前方”措辞歧义；用 T036 或 T091 的“更靠近相机”替代。,['not_selectable'],Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",T036/T091,判断“`{object_A}` 位于 `{object_B}` 前方”是否成立。,F3 判断题
T044,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注区域中，选择与“距离相机最近的 `{object_category}` 实例”对应的区域。,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,选择与描述“距离相机最近的 `{object_category}`”匹配的 mask。,F16 Mask 选择题
T045,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A8_COMPLEX_CONSTRAINT_CONSISTENCY,当前图像中，距离相机最近的标注物体是否属于 `{object_category}`？,"['image', 'objects.bbox_2d', 'objects.depth_median']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中，最近物体是否属于 `{object_category}`？,F3 判断题
T046,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧中相机/机器人/自车距离指定 `{object_category}` 实例最近？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在多帧中，哪一帧相机/机器人/自车距离 `{object_category}` 最近？,F11 图片选择题
T047,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,从第 `{i}` 帧到第 `{j}` 帧，机器人/自车是否在接近指定 `{object_category}` 实例？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,从第 `{i}` 帧到第 `{j}` 帧，机器人/自车是否在接近 `{object_category}`？,F3 判断题
T048,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,从第 `{i}` 帧到第 `{j}` 帧，指定 `{object_category}` 与相机的距离变化趋势是什么？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,多帧中 `{object_category}` 与相机距离变化趋势是什么？,F1 单选题
T049,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,判断第 `{i}` 帧中，指定物体 A 是否比指定物体 B 更接近机器人/自车。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,判断第 `{i}` 帧中 `{object_A}` 是否比 `{object_B}` 更接近机器人/自车。,F10 对比选择题
